First,Last,Number,Street,City,State
Bill,Coolidge,85013,Via Real,Austin,IL
Thomas,Coolidge,63489,Lindbergh Blvd,Springfield,ca
Harry,Ford,97249,Monroe Street,Salt Lake City,ca
Warren,McKinley,82589,Westside Freeway,Concord,ak
Andrew,Taylor,29886,Padre Boulevard,Madison,CA
Ulysses,Coolidge,98646,Bayshore Freeway,Columbus,MN
Theodore,Clinton,12292,San Marcos,Bismarck,NY
Benjamin,Jefferson,82077,Carpinteria North,Sacramento,ca
William,Van Buren,21712,Tully Road East,Albany,IL
Calvin,Washington,50742,Richmond Hill,Charleston,ca
Jimmy,Polk,76143,Richmond Hill,Salt Lake City,AK
Calvin,Adams,52386,Lake Tahoe Blvd.,Montgomery,NY
Ulysses,Monroe,70511,Jones Road,Trenton,IL
Zachary,Tyler,45040,Santa Rosa North,Carson City,AK
Ulysses,Johnson,19989,Via Real,Juneau,AL
George,Arthur,89874,Calle Real,Annapolis,AL
George,Jefferson,67703,Fontaine Road,Pierre,IL
Herbert,Grant,90635,North Ventu Park Road,Columbus,AK
Calvin,Washington,37446,E Fowler Avenue,Pierre,al
John,Harrison,86745,San Marcos,Annapolis,AK
Benjamin,Ford,27921,Carpinteria Avenue,Providence,CA
Andrew,Fillmore,96878,Greenwood Road,Saint Paul,AK
Warren,Arthur,22920,Jean de la Fontaine,Madison,MN
Calvin,Pierce,41962,Santa Rosa North,Juneau,ca
Woodrow,Clinton,30587,San Diego Freeway,Topeka,CA
George,Jefferson,95054,Padre Boulevard,Denver,ak
Lyndon,Eisenhower,14379,Newbury Road,Lincoln,al
John,Adams,49993,El Camino Real,Phoenix,AK
Woodrow,Adams,62404,Jones Road,Springfield,IL
George,Adams,40011,South Highway,Concord,ca
Dwight,Pierce,24382,North Atherton Street,Providence,ca
Thomas,Polk,14024,San Simeon,Lansing,MN
Jimmy,Coolidge,19658,North Ventu Park Road,Sacramento,ca
Theodore,Reagan,30441,Lake Tahoe Blvd.,Raleigh,AL
William,Wilson,96762,San Luis Obispo North,Harrisburg,al
Andrew,McKinley,45619,San Luis Obispo North,Bismarck,AK
George,Coolidge,67507,Santa Monica Road,Columbus,AK
Richard,Carter,42127,Carpinteria Avenue,Columbia,ca
Herbert,Hoover,93826,N Harrison St,Santa Fe,ca
Herbert,Hoover,86542,East Calle Primera,Harrisburg,ca
Chester,Quincy,38921,Santa Monica Road,Des Moines,ca
Herbert,Washington,71351,Padre Boulevard,Indianapolis,CA
